ind,defects4j,problem,codet5,P_top,RAP-Gen,P1,P2,P3,P4,P5,P6,P7,P8,P9,P11,P12,P13,P14,P15,P16,Ensemble
64,1.2,Lang-10,0,1,1,0,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1
86,1.2,Lang-52,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1
119,1.2,Closure-19,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
139,1.2,Closure-65,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
146,1.2,Closure-77,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
170,1.2,Closure-126,0,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1
194,1.2,Mockito-5,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
390,1.2,Math-35-1,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1,1
391,1.2,Math-35-2,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
398,1.2,Math-67,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
415,1.2,Lang-34,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
422,1.2,Lang-60,0,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1
448,1.2,Closure-115,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
464,1.2,Chart-7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
95,2,Cli-8,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1
99,2,Cli-17,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1
103,2,Cli-32,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
176,2,Closure-150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
191,2,Codec-17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
214,2,Jsoup-17,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
221,2,Jsoup-32,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1
228,2,Jsoup-40,0,1,1,1,1,0,1,1,1,1,0,0,0,1,0,1,0,1,1
239,2,Jsoup-57,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
259,2,JacksonDatabind-17,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1
270,2,JacksonDatabind-49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
288,2,JacksonDatabind-102,0,0,0,0,0,1,0,1,1,1,0,0,1,1,1,1,0,1,1
294,2,JacksonCore-8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
297,2,JacksonCore-25,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
308,2,Compress-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
312,2,Compress-27,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
315,2,Compress-31,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,1,1
340,2,JacksonXml-5,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
360,2,Csv-15,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1
425,2,Cli-34,0,0,0,1,1,1,1,1,1,0,0,1,1,0,1,1,0,0,1
451,2,Codec-8-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1
452,2,Codec-8-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
462,2,JacksonCore-14-1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
463,2,JacksonCore-14-2,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
466,2,JacksonDatabind-54,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
