index,test_id,defects4J_id,RAP_Gen_reapir_output,RAP_Gen_reapir_outcome,unique_repair
0,test_0.output,Chart_1_AbstractCategoryItemRenderer_1_1,if(dataset == null){,1,
5,test_5.output,Chart_10_StandardToolTipTagFragmentGenerator_1_1,,,
6,test_6.output,Chart_11_ShapeUtilities_1_1,PathIterator iterator2 = p2.getPathIterator(null);,1,
7,test_7.output,Chart_12_MultiplePiePlot_1_1,setDataset(dataset);,1,
8,test_8.output,Chart_13_BorderArrangement_1_1,,,
375,test_375.output,Chart_14_CategoryPlot_2_1,,,
376,test_376.output,Chart_14_CategoryPlot_2_2,,,
377,test_377.output,Chart_14_XYPlot_2_1,,,
378,test_378.output,Chart_14_XYPlot_2_2,,,
369,test_369.output,Chart_15_PiePlot_2_1,,,
370,test_370.output,Chart_15_PiePlot_2_2,,,
371,test_371.output,Chart_16_DefaultIntervalCategoryDataset_2_1,,,
372,test_372.output,Chart_16_DefaultIntervalCategoryDataset_2_2,if(categoryKeys.length!= getCategoryCount()){,1,1
9,test_9.output,Chart_17_TimeSeries_1_1,,,
373,test_373.output,Chart_19_CategoryPlot_2_1,,,
374,test_374.output,Chart_19_CategoryPlot_2_2,,,
10,test_10.output,Chart_20_ValueMarker_1_1,"super(paint, stroke, outlinePaint, outlineStroke, alpha);",1,
11,test_11.output,Chart_23_MinMaxCategoryRenderer_1_1,,,
12,test_12.output,Chart_24_GrayPaintScale_1_1,,,
1,test_1.output,Chart_3_TimeSeries_1_1,,,
366,test_366.output,Chart_4_XYPlot_1_1,,,
367,test_367.output,Chart_5_XYSeries_2_1,,,
368,test_368.output,Chart_5_XYSeries_2_2,,,
2,test_2.output,Chart_6_ShapeList_1_1,,,
464,test_464.output,Chart_7_TimePeriodValues_2_1,long s = getDataItem(this.maxMiddleIndex).getPeriod().getStart().getTime();,1,
465,test_465.output,Chart_7_TimePeriodValues_2_2,long e = getDataItem(this.maxMiddleIndex).getPeriod().getEnd().getTime();,1,
3,test_3.output,Chart_8_Week_1_1,"this(time, zone, Locale.getDefault());",1,
4,test_4.output,Chart_9_TimeSeries_1_1,if(endIndex < 0 || startIndex > endIndex){,1,
97,test_97.output,Cli_11_HelpFormatter_1_1,,,
98,test_98.output,Cli_12_GnuParser_1_1,,,
99,test_99.output,Cli_17_PosixParser_1_1,,,
423,test_423.output,Cli_2_PosixParser_2_1,,,
100,test_100.output,Cli_24_HelpFormatter_1_1,,,
101,test_101.output,Cli_25_HelpFormatter_1_1,,,
476,test_476.output,Cli_27_OptionGroup_2_1,,,
477,test_477.output,Cli_27_OptionGroup_2_2,,,
102,test_102.output,Cli_28_Parser_1_1,,,
424,test_424.output,Cli_3_TypeHandler_2_2,,,
103,test_103.output,Cli_32_HelpFormatter_1_1,,,
425,test_425.output,Cli_34_Option_1_1,,,
426,test_426.output,Cli_34_OptionBuilder_1_1,,,
104,test_104.output,Cli_35_Options_1_1,,,
105,test_105.output,Cli_37_DefaultParser_1_1,,,
106,test_106.output,Cli_38_DefaultParser_1_1,,,
93,test_93.output,Cli_4_Parser_1_1,,,
427,test_427.output,Cli_40_TypeHandler_1_1,,,
94,test_94.output,Cli_5_Util_1_1,,,
95,test_95.output,Cli_8_HelpFormatter_1_1,,,
96,test_96.output,Cli_9_Parser_1_1,,,
107,test_107.output,Closure_1_RemoveUnusedVars_1_1,,,
111,test_111.output,Closure_10_NodeUtil_1_1,,,
155,test_155.output,Closure_101_CommandLineRunner_1_1,,,
156,test_156.output,Closure_104_UnionType_1_1,if(!result.isNoType()){,1,
446,test_446.output,Closure_106_GlobalNamespace_1_1,,,
447,test_447.output,Closure_106_JSDocInfoBuilder_1_1,populated = true;,1,
157,test_157.output,Closure_107_CommandLineRunner_1_1,,,
158,test_158.output,Closure_109_JsDocInfoParser_1_1,,,
112,test_112.output,Closure_11_TypeCheck_1_1,[Delete] or ;,1,
159,test_159.output,Closure_111_ClosureReverseAbstractInterpreter_1_1,,,
160,test_160.output,Closure_112_TypeInference_1_1,,,
161,test_161.output,Closure_113_ProcessClosurePrimitives_1_1,if(provided!= null || requiresLevel.isOn()){,1,
162,test_162.output,Closure_114_NameAnalyzer_1_1,,,
448,test_448.output,Closure_115_FunctionInjector_2_1,[Delete] or ;,1,1
449,test_449.output,Closure_115_FunctionInjector_2_2,[Delete] or ;,1,
163,test_163.output,Closure_118_DisambiguateProperties_1_1,,,
164,test_164.output,Closure_119_GlobalNamespace_1_1,,,
113,test_113.output,Closure_12_MaybeReachingVariableUse_1_1,,,
165,test_165.output,Closure_120_ReferenceCollectingCallback_1_1,,,
166,test_166.output,Closure_122_IRFactory_1_1,,,
167,test_167.output,Closure_123_CodeGenerator_1_1,Context rhsContext = getContextForNoInOperator(context);,1,
168,test_168.output,Closure_124_ExploitAssigns_1_1,,,
169,test_169.output,Closure_125_TypeCheck_1_1,if(fnType!= null && fnType.hasInstanceType()){,1,
170,test_170.output,Closure_126_MinimizeExitPoints_1_1,[Delete] or ;,1,
171,test_171.output,Closure_129_PrepareAst_1_1,,,
114,test_114.output,Closure_13_PeepholeOptimizationsPass_1_1,,,
172,test_172.output,Closure_130_CollapseProperties_1_1,,,
173,test_173.output,Closure_132_PeepholeSubstituteAlternateSyntax_1_1,,,
450,test_450.output,Closure_132_PeepholeSubstituteAlternateSyntax_1_1,,,
174,test_174.output,Closure_133_JsDocInfoParser_1_1,,,
115,test_115.output,Closure_14_ControlFlowAnalysis_1_1,,,
175,test_175.output,Closure_146_JSType_1_1,,,
116,test_116.output,Closure_15_FlowSensitiveInlineVariables_1_1,,,
176,test_176.output,Closure_150_TypedScopeCreator_1_1,,,
177,test_177.output,Closure_152_FunctionType_1_1,,,
178,test_178.output,Closure_159_InlineFunctions_1_1,,,
179,test_179.output,Closure_161_PeepholeFoldConstants_1_1,,,
180,test_180.output,Closure_166_PrototypeObjectType_1_1,,,
181,test_181.output,Closure_168_TypedScopeCreator_1_1,,,
117,test_117.output,Closure_17_TypedScopeCreator_1_1,,,
182,test_182.output,Closure_172_TypedScopeCreator_1_1,,,
118,test_118.output,Closure_18_Compiler_1_1,if(options.dependencyOptions.needsManagement()){,1,
119,test_119.output,Closure_19_ChainableReverseAbstractInterpreter_1_1,case Token.THIS: break;,1,1
108,test_108.output,Closure_2_TypeCheck_1_1,,,
120,test_120.output,Closure_20_PeepholeSubstituteAlternateSyntax_1_1,,,
121,test_121.output,Closure_28_InlineCostEstimator_1_1,,,
122,test_122.output,Closure_31_Compiler_1_1,,,
123,test_123.output,Closure_33_PrototypeObjectType_1_1,,,
124,test_124.output,Closure_35_TypeInference_1_1,,,
125,test_125.output,Closure_36_InlineVariables_1_1,,,
126,test_126.output,Closure_38_CodeConsumer_1_1,,,
